,Builder Name,Builder Rating,Phone Numbers,Address,Work They Do,WorkingHours,Year Established
0, Raghava Associates,3.7,+(91)-9885112999 9396969469 ,"Door No 31-22-10, Srinivasa Bank Colony, Ring Road, Vijayawada - 520008, Near ICICI Bank", * Builders * Architects * Construction Companies * Land Surveyors * Building Contractors * Architects For Building * Building Plan * Contractors-Interiors * Commercial Architects * Architect Interior * Civil Engineer Contractor * Architects For Landscape * Residential Building Contractors * Building Renovation Contractors * Architects For Office * Consultant Engineer Civil * Industrial Architects * Builders & Promoters * Architects For Hotels * Government Approved Construction Contractors * Interior Decorators For Modular Kitchen * Consultant Architect * Architects For Resorts * Government Approved Civil Engineers * Commercial Building Contractors * Architects For Bungalow * Building Contractors Appartment * Architects For Restaurant * Architects For Church * Architects For Schools * Architect Designer * Architects For Mall * Building Reconstruction Contractors * Building Contractor Flat * Commercial Construction Companies * Architects For Bank * Architects For Project * Architects For Business Centre * Turnkey Contractors For Industrial * Turnkey Contractors * Architects For Factory * Architects For Showroom * Engineers-Contracting * Building Contractors Apartment * Architects For Residential Less,"{'Thursday': '09:00 am - 09:00 pm', 'Sunday': '09:00 am - 09:00 pm', 'Monday': '09:00 am - 09:00 pm', 'Saturday': '09:00 am - 09:00 pm', 'Friday': '09:00 am - 09:00 pm', 'Tuesday': '09:00 am - 09:00 pm', 'Wednesday': '09:00 am - 09:00 pm'}", 2000
1, Harsha Architect,4.9,+(91)-7702600999 7306064965 ,"Door No 57-13-15/7, New Postal Colony, Church Road, Patamata, Vijayawada - 520010", * Architects * Interior Designers * Architects For Building * Interior Designers For Office * Interior Designers For Institution * Commercial Architects * Architects For Temple * Interior Designers for Residential Spaces * Architect Interior * Commercial Interior Designers * Architects For Landscape * Architects Structural Design Civil * Interior Designers For Shopping Mall * 3D Interior Designers * Interior Designers For Shops * Architects For Office * Architects For Hotels * Industrial Architects * Interior Designers For Wall * Architects For Resorts * Architects & Interior Decorator * Architects For Bungalow * Architects For Apartment * Interior Designers For Architect * Architects For Water Park * Architects For Restaurant * Architects For Petrol Pumps * Architects For Schools * Interior Designers For Jewellery Showroom * Architects For Hospital * Interior Designers For Restaurant * Turnkey Project For Interior Designers * Interior Graphic Designers * Architect Chartered * Interior Designers For Showroom * Architects For Mall * Interior Designers For Beauty Parlour * Interior Designers For Cinema Hall * Architect Designer * Sustainable Architects * Interior Designers For Salons * Architects For Bank * Architects For Auditorium * Interior Designers For Apartment * Interior Designers & Consultants * Interior Designers For Factory * Insurance Architect * Interior Designers For School * Roman Architects * PVC Interior Designers * Interior Designer Corporate * Interior Designers For Industrial * Interior Designers Business Centre * Interior Designers For Hotels * Interior Designers For Lab * Interior Designers For Lobby * Interior Designers For Penthouse * Interior Designer Departmental Store * Architects For Showroom * Interior Designers For Stalls * Interior Designers For Studio * Interior Designers For Temple * Interior Designer Consultants * Interior Designers Call Centre * Architects For Factory * Architects For Departmental Store * Architects For Residential Less,"{'Thursday': '12:00 am - 11:59 pm', 'Sunday': '12:00 am - 11:59 pm', 'Monday': '12:00 am - 11:59 pm', 'Saturday': '12:00 am - 11:59 pm', 'Friday': '12:00 am - 11:59 pm', 'Tuesday': '12:00 am - 11:59 pm', 'Wednesday': '12:00 am - 11:59 pm'}", 2010
2, Ramakrishna Associates,5.0,+(91)-866-2567162 +(91)-9866267162 ,"House No 11-25-355, Main Road, One Town, Vijayawada - 520001, Samarangham Chowk", * Interior Designers * Architects * Architects For Building * Structural Engineers * Commercial Architects * Architect Interior * Architects For Residential Less,"{'Thursday': '10:00 am - 09:00 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 09:00 pm', 'Saturday': '10:00 am - 09:00 pm', 'Friday': '10:00 am - 09:00 pm', 'Tuesday': '10:00 am - 09:00 pm', 'Wednesday': '10:00 am - 09:00 pm'}", 1989
3, Enliven Creations,4.5,+(91)-8978929137 9030807630 ,"House No 54-18-99/A, Road No 1, Siddhartha Nagar, Vijayawada - 520010, Opposite Andhra Bank, Near Amma Kalyana Mandapam", * Interior Designers * Architects * Interior Decorators * Architects For Building * Interior Decorators for Residences * Interior Decorators For Office * Architectures * Interior Designers For Office * Residence Interior Designers * Interior Decorators For Shop * Exterior Designers * Interior Decorators For Hotel * Interior Decorators For Showroom * Interior Decorators For Hospital * Interior Designers For Corporate * Architects For Mall * Interior Decorators For Pubs * Architects For Shopping Centre * Interior Decorator Hotel Kitchen * Architects For Business Centre * Interior Decorators For Bungalow * Architects For Call Centre * Architects For Residential Less,"{'Thursday': '09:30 am - 09:30 pm', 'Sunday': '09:30 am - 09:30 pm', 'Monday': '09:30 am - 09:30 pm', 'Saturday': '09:30 am - 09:30 pm', 'Friday': '09:30 am - 09:30 pm', 'Tuesday': '09:30 am - 09:30 pm', 'Wednesday': '09:30 am - 09:30 pm'}", 2010
4, BHAVISHYA PROJECTS,4.5,+(91)-9642065250 ,"Door No 12-13-8, Abdul Khadir Street, One Town, Islampet, Vijayawada - 520001", * Architects * Construction Companies * Interior Designers * Building Contractors * Civil Engineers * Construction Contractors * Architects For Building * Structural Engineers * Building Plan * Interior Designers For Office * Interior Designers For Institution * Commercial Architects * Architects For Temple * Residence Interior Designers * Architect Interior * Interior Designers For Kitchen * Residential Construction Companies * Civil Engineer Contractor * Structural Designing Services * Commercial Interior Designers * Architects For Landscape * Building Contractors For Compound Wall * Residential Building Contractors * Building Renovation Contractors * Interior Designers For Shopping Mall * Road Building Contractors * Structural Consultants * Structural Engineering Consultants * Interior Designer School * Industrial Architects * Interior Designers For Shops * Architects For Office * Architects For Hotels * Consultant Engineer Civil * Building Contractors Roofing Industrial * Interior Designers For Wall * Architects For Bungalow * Commercial Building Contractors * Waterproofing Contractors For Building * Architects For Restaurant * Interior Designers For Hospital * Building Contractor Flat * Architect Designer * Architects For Hospital * Interior Designers For Showroom * Building Reconstruction Contractors * Interior Designers For Restaurant * Interior Designers For Salons * Building Demolishing Contractors * Interior Designer Consultants * Building Contractor Industrial * Building Contractor Swimming Pool * Industrial Structural Designing Services * Building Contractors Apartment * Interior Designers For Hotels * Building Rehabilitation Contractors * Interior Designers & Consultants * Architects For Residential Less,"{'Thursday': '12:00 am - 11:59 pm', 'Sunday': '12:00 am - 11:59 pm', 'Monday': '12:00 am - 11:59 pm', 'Saturday': '12:00 am - 11:59 pm', 'Friday': '12:00 am - 11:59 pm', 'Tuesday': '12:00 am - 11:59 pm', 'Wednesday': '12:00 am - 11:59 pm'}", 2016
5, R-Eleven Architects,5.0,+(91)-9059950029 7386910444 ,"# 54-15-8, Raghavendra Nilayam, Srinivasanagar Bank Colony, Bharathi Nagar, Vijayawada - 520008, Beside ICICI Bank, Flavours Bakery", * Interior Designers * Architects * Residence Interior Designers * Building Elevation Works * Landscape Designers * Building Layout * Interior Designers For Restaurant * Residential Landscape Designers * Architects For Residential Less,"{'Thursday': '10:00 am - 10:00 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 10:00 pm', 'Saturday': '10:00 am - 10:00 pm', 'Friday': '10:00 am - 10:00 pm', 'Tuesday': '10:00 am - 10:00 pm', 'Wednesday': '10:00 am - 10:00 pm'}", 2015
6, Sudha Architects,0.5,+(91)-9397341745 ,"Door No 29-12-6, Govindarajulu Naidu Street, Suryarao Pet, Vijayawada - 520002, Upstairs Sree Sarada Nursing Home", * Architects * Civil Engineers * Architects For Building * Building Plan * Engineering Consultants * Consultant Engineer Civil * Architects For Residential Less,"{'Thursday': '10:00 am - 06:00 pm', 'Sunday': '10:00 am - 06:00 pm', 'Monday': '10:00 am - 06:00 pm', 'Saturday': '10:00 am - 06:00 pm', 'Friday': '10:00 am - 06:00 pm', 'Tuesday': '10:00 am - 06:00 pm', 'Wednesday': '10:00 am - 06:00 pm'}", 1985
7, Sai Durga Constructions,3.5,+(91)-866-2522033 +(91)-9603233999 ,"Door No 40-25-81, Suryanarayana complex, Opposite Jyothimahal, Patamatalanka, Vijayawada - 520015, Near Benz Circle", * Builders * Architects * Builders & Developers * Residential Builders * Builders & Promoters Less,"{'Thursday': '09:30 am - 10:00 pm', 'Sunday': 'Closed', 'Monday': '09:30 am - 10:00 pm', 'Saturday': '09:30 am - 10:00 pm', 'Friday': '09:30 am - 10:00 pm', 'Tuesday': '09:30 am - 10:00 pm', 'Wednesday': '09:30 am - 10:00 pm'}", 1987
8, Lachan Infra Projects,4.8,+(91)-9494914646 9849993339 ,"Machavaram, Vijayawada - 520004, Eluru Road, Opposite Anjaneya Swami Temple", * Builders * Architects * Interior Designers * Building Contractors * Civil Engineers * Architects For Building * Building Demolition Contractors * Interior Designers For Office * Commercial Architects * Architects For Temple * Residence Interior Designers * Architect Interior * Interior Designers For Kitchen * Civil Engineer Contractor * Commercial Interior Designers * Architects For Landscape * Building Contractors For Compound Wall * Residential Building Contractors * Road Building Contractors * Industrial Architects * Interior Designers For Shops * Architects For Hotels * Architects For Office * Building Contractors Roofing Industrial * Interior Designers For Wall * Commercial Building Contractors * Architects For Apartment * Waterproofing Contractors For Building * Architects For Schools * Glass Contractors For Building * Building Reconstruction Contractors * Interior Designers For Restaurant * Building Contractor Flat * Building Contractor Hospital * Building Contractor Industrial * Building Rehabilitation Contractors * Building Material Disposing Contractors * Building Contractors Apartment * Building Restoration Contractors Less,"{'Thursday': '08:00 am - 09:00 pm', 'Sunday': '08:00 am - 09:00 pm', 'Monday': '08:00 am - 09:00 pm', 'Saturday': '08:00 am - 09:00 pm', 'Friday': '08:00 am - 09:00 pm', 'Tuesday': '08:00 am - 09:00 pm', 'Wednesday': '08:00 am - 09:00 pm'}", 2013
9, Sri Siddhartha Consultancy,5.0,+(91)-7396624012 9849604155 ,"Door No 61-12/3-5, Gayatri Road, Ramalingeshwara Nagar, Benz Circle, Vijayawada - 520010", * Civil Contractors * Architects * Architects For Building * Engineering Project Consultants * Core Cutting Contractors * Engineering Consultants * Architects Structural Design Civil * Consultant Engineer Civil * Architects For Residential Less,"{'Thursday': '12:00 am - 11:59 pm', 'Sunday': '12:00 am - 11:59 pm', 'Monday': '12:00 am - 11:59 pm', 'Saturday': '12:00 am - 11:59 pm', 'Friday': '12:00 am - 11:59 pm', 'Tuesday': '12:00 am - 11:59 pm', 'Wednesday': '12:00 am - 11:59 pm'}", 2010
10, KMP Construction,3.5,+(91)-9448120087 ,"Kote, Arkalgud, Hassan - 573102, Near Thara Hospital", * Builders * Architects * Construction Companies * Civil Contractors * Builders & Developers * Construction Equipment Dealers * Architects For Building * Engineering Project Consultants * Civil Contractors For Residential * Commercial Architects * Residential Builders * Residential Construction Companies * Commercial Builders * Civil Contractors For Commercial * Excavation Contractors * Rock Excavation Contractors * Architects For Residential Less,"{'Thursday': '09:30 am - 06:30 pm', 'Sunday': '09:30 am - 06:30 pm', 'Monday': '09:30 am - 06:30 pm', 'Saturday': '09:30 am - 06:30 pm', 'Friday': '09:30 am - 06:30 pm', 'Tuesday': '09:30 am - 06:30 pm', 'Wednesday': '09:30 am - 06:30 pm'}", 1989
